input,explanation,answer
Cunning fellows housed in suitable accommodation (9),' accommodation ' is the definition.  ' cunning fellows housed in suitable ' is the wordplay. ' cunning ' becomes ' art ' (both can mean artfulness or trickery) . ' fellows ' becomes ' men ' (fellow can mean a man) . ' housed in ' means one lot of letters goes inside another. ' suitable ' becomes ' apt ' (apt means appropriate or fitting) . ' art '+' men '=' artmen ' ' artmen ' inserted inside ' apt ' is ' APARTMENT '.,apartment
One who refuses to snicker out loud at speaker (8),' one who refuses ' is the definition. ' to snicker out loud at speaker ' is the wordplay. ' to snicker ' becomes ' neigh '. ' out loud ' shows a homophone (sound like). ' at ' means one lot of letters go next to another. ' speaker ' becomes ' sayer '. ' neigh ' is a homophone of ' nay '. ' nay '+' sayer '=' NAYSAYER ',naysayer
Beware entertaining Romeo's desire (5),"' desire ' is the definition.  ' beware entertaining romeo's ' is the wordplay. ' beware ' becomes ' cave ' (old-fashioned term meaning 'look out') . ' entertaining ' is an insertion indicator. ' romeo ' becomes ' r ' (phonetic alphabet: alpha,  bravo, charlie etc.) . ' cave ' enclosing ' r ' is ' CRAVE '.",crave
Wanting river to rise in New York (5),' wanting ' is the definition.  ' river to rise in new york ' is the wordplay. ' river ' becomes ' dee ' (River Dee) . ' to rise ' is a reversal indicator. ' in ' indicates putting letters inside. ' new york ' becomes ' ny '. ' dee ' reversed gives ' eed '. ' eed ' placed inside ' ny ' is ' NEEDY '.,needy
Metal safe stores whiskey (6),' metal ' is the definition. (pewter is a kind of metal) ' safe stores whiskey ' is the wordplay. ' safe ' becomes ' peter '  . ' stores ' indicates putting letters inside. ' whiskey ' becomes ' w ' (alpha bravo charlie delta ...) . ' peter ' placed around ' w ' is ' PEWTER '.,pewter
"Cleaning from New Year's Day to year's end, it all gets scrubbed regularly (10)",' cleaning ' is the definition. ' new year's day to year's end it all gets scrubbed regularly ' is the wordplay. ' new year's day ' becomes ' jani ' (resembles Jan 1st) . ' end ' suggests the final letters. ' gets scrubbed regularly ' means one should take alternating letters (letters scrubbed out at regular intervals) . The final letter of ' yea r ' is ' r '. ' it '+' all '=' itall ' The alternating letters of ' i t a l l ' are ' ial '. ' jani '+' to '+' r '+' ial '=' JANITORIAL ' ' from ' acts as a link.,janitorial
"Collision involving current member, one visiting part of W London (9)",' collision ' is the definition. (impaction is a kind of collision) ' current member one visiting part of w london ' is the wordplay. ' current ' becomes ' i ' (symbol for electric current) . ' member ' becomes ' mp '. ' one ' becomes ' i ' (Roman numeral) . ' visiting ' means one lot of letters goes inside another. ' part of w london ' becomes ' acton ' (part of West London) . ' i ' put into ' acton ' is ' action '. ' i '+' mp '+' action '=' IMPACTION ' ' involving ' acts as a link.,impaction
"Grovels so awkwardly in attempt to cover up (5,4)",' attempt to cover up ' is the definition. ' grovels so awkwardly ' is the wordplay. ' awkwardly ' indicates an anagram. ' grovels '+' so '=' grovelsso ' ' grovelsso ' anagrammed gives ' GLOSS OVER '. ' in ' acts as a link.,gloss over
Tidy a car nervously for draped female figure (8),"' draped female figure ' is the definition. The answer and definition can be both man-made objects as well as being singular nouns. I also know that 'draped', 'female' and 'figure' all relate to this answer. ' tidy a car nervously ' is the wordplay. ' nervously ' indicates anagramming the letters. ' tidy '+' a '+' car '=' tidyacar ' ' tidyacar ' with letters rearranged gives ' CARYATID '. ' for ' is the link.",caryatid
Silly jokes about parking in capital city (6),' capital city ' is the definition.  ' silly jokes about parking ' is the wordplay. ' silly ' indicates anagramming the letters. ' about ' indicates putting letters inside. ' parking ' becomes ' p '. ' jokes ' with letters rearranged gives ' skoje '. ' skoje ' placed around ' p ' is ' SKOPJE '. ' in ' is the link.,skopje
One very loudly boarding transport upset cars? (7),' cars? ' is the definition. ' one very loudly boarding transport upset ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' very loudly ' becomes ' ff '. ' boarding ' means one lot of letters goes inside another. ' transport ' becomes ' cart ' (cart is a kind of transport**) . ' upset ' shows that the letters should be reversed in order. ' i '+' ff '=' iff ' ' iff ' going inside ' cart ' is ' ciffart '. ' ciffart ' backwards is ' TRAFFIC '.,traffic
"Before ten, mail unfortunately not dispatched? Tough (13)",' tough ' is the definition. ('unsentimental' can be similar in meaning to 'tough') ' before ten mail unfortunately not dispatched? ' is the wordplay. ' before ' is a charade indicator (letters next to each other). ' unfortunately ' indicates an anagram. ' not dispatched? ' becomes ' unsent '  . ' ten '+' mail '=' tenmail ' ' tenmail ' anagrammed gives ' imental '. ' imental ' after ' unsent ' is ' UNSENTIMENTAL '.,unsentimental
"A crack about Tory leader being in the wrong (2,5)",' in the wrong ' is the definition.  ' a crack about tory leader ' is the wordplay. ' crack ' becomes ' fault ' (fault is a kind of crack**) . ' about ' says to put letters next to each other. ' tory leader ' becomes ' t '  . ' fault ' put after ' t ' is ' tfault '. ' a '+' tfault '=' AT FAULT ' ' being ' acts as a link.,at fault
Meal and wine served up outside hostelry (6),' meal ' is the definition. (dinner is a kind of meal) ' wine served up outside hostelry ' is the wordplay. ' wine ' becomes ' red ' (red wine is a kind of wine**) . ' served up ' shows that the letters should be reversed in order. ' outside ' indicates putting letters inside. ' hostelry ' becomes ' inn ' ('inn' can be a synonym of 'hostelry') . ' red ' written backwards gives ' der '. ' der ' enclosing ' inn ' is ' DINNER '. ' and ' is the link.,dinner
Most genuine from the time of leading others (9),' most genuine ' is the definition.  ' from the time of leading others ' is the wordplay. ' from the time of ' becomes ' since '. ' leading ' means one lot of letters go next to another. ' others ' becomes ' rest '  . ' since '+' rest '=' SINCEREST ',sincerest
"China: a little souvenir, a miniature turned up (5)",' china ' is the definition. (type of porcelain) ' a little souvenir a miniature turned up ' is the wordplay. ' a little ' says the answer is hidden in the clue. ' turned up ' says the letters should be written in reverse. ' irami ' is hidden in the letters of ' souven ir a mi niature '. ' irami ' backwards is ' IMARI '.,imari
Move round bed to corner a rat (8),' rat ' is the definition. (both can mean a traitor) ' move round bed to corner a ' is the wordplay. ' move round ' becomes ' turn '  . ' bed ' becomes ' cot ' (cot is a kind of bed) . ' to corner ' is an insertion indicator (corner can mean to trap) . ' cot ' placed around ' a ' is ' coat '. ' turn '+' coat '=' TURNCOAT ',turncoat
"Was a rocker in leather, I gather (6)",' was a rocker ' is the definition. (to sway can mean to rock) ' leather i gather ' is the wordplay. ' leather ' becomes ' suede ' (suede is a kind of leather) . ' i gather ' indicates a 'sounds like' (homophone) clue ('gather' can mean hear) . ' suede ' is a homophone of ' SWAYED '. ' in ' acts as a link.,swayed
Hug eastern doctor before contest (7),"' hug ' is the definition. ('embrace' can be a synonym of 'hug') ' eastern doctor before contest ' is the wordplay. ' eastern ' becomes ' e '. ' doctor ' becomes ' mb ' (Bachelor of Medicine, Medicinae Baccalaureus) . ' before ' is a charade indicator (letters next to each other). ' contest ' becomes ' race ' (race is a kind of contest**) . ' e '+' mb '+' race '=' EMBRACE '",embrace
Piece of Whitman — it's essentially about poem (7),' poem ' is the definition.  ' piece of whitman it's essentially about ' is the wordplay. ' piece of ' says the answer is hidden in the clue. ' about ' says the letters should be written backwards. ' anitses ' is hidden within ' whitm an its es sentially '. ' anitses ' in reverse letter order is ' SESTINA '.,sestina
Features of ill-meant boring punishment at school (10),' features ' is the definition. ('lineament' can be a synonym of 'feature') ' ill-meant boring punishment at school ' is the wordplay. ' ill ' indicates an anagram. ' boring ' indicates putting letters inside (some letters must 'bore' a hole into other letters) . ' punishment at school ' becomes ' lines '. ' meant ' anagrammed gives ' ament '. ' ament ' going into ' lines ' is ' LINEAMENTS '. ' of ' is the link.,lineaments
Passages in street on dry island (7),' passages ' is the definition.  ' street on dry island ' is the wordplay. ' street ' becomes ' st '. ' on ' becomes ' re ' ('on' can be mean 'with reference to'**) . ' dry ' becomes ' tt ' (abbreviation for teetotal) . ' island ' becomes ' i '. ' st '+' re '+' tt '+' i '=' STRETTI ' ' in ' acts as a link.,stretti
Cable maybe trailing from electronic display (6),"' display ' is the definition.  ' cable maybe trailing from electronic ' is the wordplay. ' cable maybe ' becomes ' vince ' (Vince Cable) . ' trailing ' means one lot of letters go next to another. ' from electronic ' becomes ' e ' (as in e-mail, e-sports etc) . ' vince ' put after ' e ' is ' EVINCE '.",evince
Relative’s jibe when head goes missing (4),' relative's ' is the definition. (aunt is a kind of relative) ' jibe when head goes missing ' is the wordplay. ' jibe ' becomes ' taunt '. ' when head goes missing ' means to remove the first letter. ' t aunt ' with its first letter taken off is ' AUNT '.,aunt
"Flavouring ingredient, mixture of melon and peach (5,5)",' flavouring ingredient ' is the definition. ' mixture of melon and peach ' is the wordplay. ' mixture of ' is an anagram indicator  . ' and ' says to put letters next to each other. ' peach ' becomes ' grass ' (both can mean to act as an informant) . ' melon ' anagrammed gives ' lemon '. ' lemon '+' grass '=' LEMON-GRASS ',lemon grass
Break into a jumbled mass on the top of the heap (5),' break ' is the definition. (smashing is a kind of breaking) ' a jumbled mass on the top of the heap ' is the wordplay. ' a jumbled ' is an anagram indicator. ' on ' is a charade indicator (letters next to each other). ' the top of ' says to take the initial letters. The initial letter of ' h eap ' is ' h '. ' mass ' anagrammed gives ' smas '. ' smas '+' h '=' SMASH ' ' into ' acts as a link.,smash
One involved in great new hospital procedure (6),' hospital procedure ' is the definition.  ' one involved in great new ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' involved in ' is an insertion indicator. ' new ' indicates an anagram. ' great ' anagrammed gives ' trage '. ' i ' put into ' trage ' is ' TRIAGE '.,triage
Was not prepared to be detective's assistant (6),' be detective's assistant ' is the definition. The definition suggests a singular noun which matches the answer. ' was not prepared ' is the wordplay. ' prepared ' is an anagram indicator. ' was '+' not '=' wasnot ' ' wasnot ' is an anagram of ' WATSON '. ' to ' acts as a link.,watson
Great success as one blocking corruption (4),' great success ' is the definition. (thesaurus) ' one blocking corruption ' is the wordplay. ' one ' becomes ' i ' (Roman numeral) . ' blocking ' means one lot of letters goes inside another. ' corruption ' becomes ' rot '  . ' i ' inserted into ' rot ' is ' RIOT '. ' as ' acts as a link.,riot
Fancy gentleman wearing flower (6),' fancy ' is the definition. (thesaurus) ' gentleman wearing flower ' is the wordplay. ' gentleman ' becomes ' sir '  . ' wearing ' indicates putting letters inside. ' flower ' becomes ' dee ' (River Dee) . ' sir ' put into ' dee ' is ' DESIRE '.,desire
Assess time sat working on end of puzzle (8),' assess ' is the definition.  ' time sat working on end of puzzle ' is the wordplay. ' working ' indicates an anagram. ' on ' means one lot of letters go next to another. ' end of ' indicates one should take the final letters. The last letter of ' puzzl e ' is ' e '. ' time '+' sat '=' timesat ' ' timesat ' with letters rearranged gives ' estimat '. ' estimat '+' e '=' ESTIMATE ',estimate
The naked groom breaks nose (6),' nose ' is the definition. (hooter is a kind of nose) ' the naked groom breaks ' is the wordplay. ' naked ' indicates the central letters. ' breaks ' indicates anagramming the letters. The central letters of ' g roo m ' are ' roo '. ' the '+' roo '=' theroo ' ' theroo ' anagrammed gives ' HOOTER '.,hooter
Impressive church car halted in crash (9),' impressive church ' is the definition. ' cathedral ' can be an answer for ' church ' (cathedral is a kind of church) . I am not certain of the ' impressive ' bit. ' car halted in crash ' is the wordplay. ' in crash ' indicates an anagram. ' car '+' halted '=' carhalted ' ' carhalted ' anagrammed gives ' CATHEDRAL '.,cathedral
